Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SU,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,APL,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,ACC,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,APD,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,REA,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,FIN,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,CMP,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe
CC,,,,,,,,0,29,8,6,4,3,1,61,3,9,5,35,8,1,22,1,1,0,19,1,0,21,1,0,0,19,1,0,15,0,0,3,12,0,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0
CN,,,,,,,,0,83,5,1,0,3,0,22,0,2,2,11,7,0,7,0,0,0,7,0,0,6,0,0,0,6,0,0,19,1,0,0,18,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0
CS,,,,,,,,0,48,5,2,1,3,0,45,7,2,3,18,7,8,19,5,0,1,11,0,2,16,5,0,1,8,0,2,10,2,0,0,7,0,1,4,1,0,0,3,0,0,1,0,0,0,1,0,0
USJ,,,,,,,,0,28,10,4,3,0,1,96,13,15,7,16,43,2,11,6,0,0,5,0,0,9,4,0,0,5,0,0,22,3,0,0,19,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0
Kandy,,,,,,,,0,30,0,2,0,4,3,51,3,2,2,16,6,22,6,0,0,0,6,0,0,10,0,0,0,9,0,1,7,0,1,0,5,0,1,4,1,0,0,3,0,0,1,0,0,0,1,0,0
Ruhuna,,,,,,,,0,247,6,0,0,4,4,63,2,1,2,18,29,11,15,1,0,1,9,2,2,13,1,0,1,7,2,2,12,0,0,0,11,0,1,4,1,0,0,2,0,1,1,0,0,0,1,0,0
SLIIT,,,,,,,,0,84,42,2,0,0,0,30,7,16,1,6,0,0,9,5,0,0,4,0,0,6,2,0,0,4,0,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NSBM,,,,,,,,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NIBM,,,,,,,,0,6,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Rajarata,,,,,,,,0,29,0,2,0,0,0,9,2,4,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
